曲A,曲B,演奏公演数,全公演割合,演奏ツアー数,全ツアー割合
Scarsdale,"kid, I like quartet",64,0.05876951331496786,5,0.12195121951219512
Hakoniwa Rock Show,"kid, I like quartet",63,0.05785123966942149,5,0.12195121951219512
Ride on Time,Sentimental Period,45,0.04132231404958678,5,0.12195121951219512
Hikari Nodokeki Haru no Hi ni,Orion wo Nazoru,37,0.03397612488521579,5,0.12195121951219512
Sakura no Ato (all quartets lead to the?),fake town baby,73,0.06703397612488522,5,0.12195121951219512
Sanpo Saki My Life,Sentimental Period,93,0.08539944903581267,5,0.12195121951219512
Atorakushon ga Hajimaru (they call it “NO.6”),Kimi no Hitomi ni Koishi Tenai,41,0.03764921946740129,5,0.12195121951219512
Chandelier Waltz,like coffee no Omajinai,45,0.04132231404958678,5,0.12195121951219512
23:25,Clover,38,0.03489439853076217,5,0.12195121951219512
Otonoba Chukan Shiken,Tettoutetsubi Yonayona Drive,101,0.09274563820018365,5,0.12195121951219512
Bachigai Hummingbird,harmonized finale,81,0.0743801652892562,5,0.12195121951219512
Kimi no Moto e,"kid, I like quartet",63,0.05785123966942149,5,0.12195121951219512
Otonoba Chukan Shiken,Tengoku to Jigoku,100,0.09182736455463728,5,0.12195121951219512
Tengoku to Jigoku,harmonized finale,64,0.05876951331496786,5,0.12195121951219512
Bachigai Hummingbird,Sanpo Saki My Life,65,0.05968778696051423,5,0.12195121951219512
Master Volume,Sanpo Saki My Life,89,0.08172635445362718,5,0.12195121951219512
Sakura no Ato (all quartets lead to the?),"kid, I like quartet",51,0.046831955922865015,5,0.12195121951219512
Pandemic Sudden Death,Tettoutetsubi Yonayona Drive,120,0.11019283746556474,5,0.12195121951219512
Sanpo Saki My Life,"kid, I like quartet",57,0.05234159779614325,5,0.12195121951219512
Instrumental Jam,Invisible Sensation,48,0.0440771349862259,5,0.12195121951219512
Hakoniwa Rock Show,MR. Andy,59,0.05417814508723599,5,0.12195121951219512
Drum Solo,Tettoutetsubi Yonayona Drive,94,0.08631772268135904,5,0.12195121951219512
Scarsdale,cody beats,57,0.05234159779614325,5,0.12195121951219512
Chaos ga Kiwamaru,Sugar Song to Bitter Step,107,0.09825528007346189,5,0.12195121951219512
Protract Countdown,cody beats,37,0.03397612488521579,5,0.12195121951219512
Deirai Kyousou Gakudan,"kid, I like quartet",19,0.017447199265381085,5,0.12195121951219512
Deirai Kyousou Gakudan,Master Volume,56,0.051423324150596875,5,0.12195121951219512
Airabuniju,Deirai Kyousou Gakudan,32,0.02938475665748393,5,0.12195121951219512
Galileo no Showcase,Sakura no Ato (all quartets lead to the?),102,0.09366391184573003,5,0.12195121951219512
Bachigai Hummingbird,Kimi no Moto e,76,0.06978879706152434,5,0.12195121951219512
Clover,Deirai Kyousou Gakudan,90,0.08264462809917356,5,0.12195121951219512
Drum Solo,Galileo no Showcase,58,0.05325987144168962,5,0.12195121951219512
Clover,Scarsdale,29,0.02662993572084481,5,0.12195121951219512
Protract Countdown,"kid, I like quartet",33,0.030303030303030304,5,0.12195121951219512
Counter Identity,Sentimental Period,49,0.04499540863177227,5,0.12195121951219512
Sakura no Ato (all quartets lead to the?),harmonized finale,73,0.06703397612488522,5,0.12195121951219512
Orion wo Nazoru,Protract Countdown,46,0.04224058769513315,5,0.12195121951219512
Airabuniju,Galileo no Showcase,30,0.027548209366391185,5,0.12195121951219512
Karakuri Karukare,Sora no Tobikata,27,0.024793388429752067,5,0.12195121951219512
Linear Blue wo Kikinagara,Master Volume,40,0.03673094582185491,5,0.12195121951219512
Tettoutetsubi Yonayona Drive,Toushindai no Chikyu,66,0.06060606060606061,5,0.12195121951219512
Invisible Sensation,Tengoku to Jigoku,62,0.05693296602387511,5,0.12195121951219512
23:25,crazy birthday,53,0.048668503213957756,5,0.12195121951219512
Sakura no Ato (all quartets lead to the?),Sawarenai Uta,60,0.05509641873278237,5,0.12195121951219512
Snow Reverse,cody beats,26,0.023875114784205693,5,0.12195121951219512
Toushindai no Chikyu,"kid, I like quartet",17,0.015610651974288337,5,0.12195121951219512
Bachigai Hummingbird,Shupurehikouru ~Sekai ga Owaru Mae ni~,46,0.04224058769513315,5,0.12195121951219512
Counter Identity,Toushindai no Chikyu,11,0.010101010101010102,5,0.12195121951219512
Master Volume,over driver,11,0.010101010101010102,5,0.12195121951219512
Pandemic Sudden Death,Sugar Song to Bitter Step,130,0.11937557392102846,5,0.12195121951219512
Scarsdale,Sora no Tobikata,28,0.025711662075298437,5,0.12195121951219512
Karakuri Karukare,Toushindai no Chikyu,41,0.03764921946740129,5,0.12195121951219512
"10% roll, 10% romance",fake town baby,103,0.0945821854912764,5,0.12195121951219512
Counter Identity,MR. Andy,61,0.05601469237832874,5,0.12195121951219512
Bachigai Hummingbird,Sora no Tobikata,29,0.02662993572084481,5,0.12195121951219512
23:25,Atorakushon ga Hajimaru (they call it “NO.6”),35,0.03213957759412305,5,0.12195121951219512
Orion wo Nazoru,Shupurehikouru ~Sekai ga Owaru Mae ni~,40,0.03673094582185491,5,0.12195121951219512
Master Volume,Orion wo Nazoru,51,0.046831955922865015,5,0.12195121951219512
Full Color Program,Protract Countdown,47,0.04315886134067952,5,0.12195121951219512
23:25,WINDOW Akeru,59,0.05417814508723599,5,0.12195121951219512
Tettoutetsubi Yonayona Drive,fake town baby,48,0.0440771349862259,5,0.12195121951219512
Atorakushon ga Hajimaru (they call it “NO.6”),Bachigai Hummingbird,74,0.06795224977043159,5,0.12195121951219512
Silent Libre Mirage,Sugar Song to Bitter Step,76,0.06978879706152434,5,0.12195121951219512
Haru ga Kite Bokura,Invisible Sensation,92,0.0844811753902663,5,0.12195121951219512
Haru ga Kite Bokura,Kimi no Hitomi ni Koishi Tenai,83,0.07621671258034894,5,0.12195121951219512
Master Volume,Sentimental Period,120,0.11019283746556474,5,0.12195121951219512
Clover,MR. Andy,85,0.0780532598714417,5,0.12195121951219512
Counter Identity,Itsuka no Shounen,34,0.031221303948576674,5,0.12195121951219512
Gyakuten Sayonara,cody beats,16,0.014692378328741965,5,0.12195121951219512
Clover,Toushindai no Chikyu,57,0.05234159779614325,5,0.12195121951219512
Bachigai Hummingbird,Mikansei Daisy,28,0.025711662075298437,5,0.12195121951219512
23:25,Childhood Supernova,22,0.020202020202020204,5,0.12195121951219512
Full Color Program,Yoru ga Yureteiru,41,0.03764921946740129,5,0.12195121951219512
