曲A(前),曲B(後),繋ぎ公演数,全公演での発生割合,繋ぎツアー数,全ツアーでの発生割合
Yayoichou Lonely Planet,Worldwide Supergirl,25,0.02295684113865932,1,0.024390243902439025
Own Civilization (nano‐mile met),Radial Night Chaser,25,0.02295684113865932,1,0.024390243902439025
Pandemic Sudden Death,Snow Answer,12,0.011019283746556474,1,0.024390243902439025
Snow Answer,Drum Solo,10,0.009182736455463728,1,0.024390243902439025
5-bu-go no Stardust,Yayoichou Lonely Planet,25,0.02295684113865932,1,0.024390243902439025
Sugar Song to Bitter Step,Otonoba Chukan Shiken,15,0.013774104683195593,1,0.024390243902439025
Otonoba Chukan Shiken,Invisible Sensation,12,0.011019283746556474,1,0.024390243902439025
5-bu-go no Stardust,Messenger From Zen Sekai,1,0.0009182736455463728,1,0.024390243902439025
MR. Andy,Ride on Time,1,0.0009182736455463728,1,0.024390243902439025
fake town baby,5-bu-go no Stardust,25,0.02295684113865932,1,0.024390243902439025
MR. Andy,Hakoniwa Rock Show,7,0.006427915518824609,1,0.024390243902439025
Scarsdale,Searchlight,1,0.0009182736455463728,1,0.024390243902439025
Radial Night Chaser,fake town baby,25,0.02295684113865932,1,0.024390243902439025
Searchlight,Bachigai Hummingbird,1,0.0009182736455463728,1,0.024390243902439025
Master Volume,Chandelier Waltz,1,0.0009182736455463728,1,0.024390243902439025
Scarsdale,"Yuunagi, Ensemble",1,0.0009182736455463728,1,0.024390243902439025
to the CIDER ROAD,Sakura no Ato (all quartets lead to the?),1,0.0009182736455463728,1,0.024390243902439025
"kid, I like quartet",Sanpo Saki My Life,10,0.009182736455463728,1,0.024390243902439025
Sakura no Ato (all quartets lead to the?),Bachigai Hummingbird,28,0.025711662075298437,1,0.024390243902439025
Atorakushon ga Hajimaru (they call it “NO.6”),"10% roll, 10% romance",3,0.0027548209366391185,1,0.024390243902439025
"10% roll, 10% romance",mix juice no Iutouri,2,0.0018365472910927456,1,0.024390243902439025
mix juice no Iutouri,Master Volume,2,0.0018365472910927456,1,0.024390243902439025
Master Volume,Invisible Sensation,2,0.0018365472910927456,1,0.024390243902439025
crazy birthday,Sakura no Ato (all quartets lead to the?),26,0.023875114784205693,1,0.024390243902439025
"Catch up, latency",Seihitsu Kanbi Akigure Jojou,2,0.0018365472910927456,1,0.024390243902439025
Karakuri Karukare,crazy birthday,25,0.02295684113865932,1,0.024390243902439025
Seihitsu Kanbi Akigure Jojou,harmonized finale,2,0.0018365472910927456,1,0.024390243902439025
harmonized finale,Orchestra o Mi ni Ikou,2,0.0018365472910927456,1,0.024390243902439025
Orion wo Nazoru,Haru ga Kite Bokura,4,0.0036730945821854912,1,0.024390243902439025
Dareka ga Wasurete iru Kamoshirenai Bokura ni Daijina 001 no Koto,Sora no Tobikata,1,0.0009182736455463728,1,0.024390243902439025
Linear Blue wo Kikinagara,Dareka ga Wasurete iru Kamoshirenai Bokura ni Daijina 001 no Koto,18,0.01652892561983471,1,0.024390243902439025
Chandelier Waltz,Sakura no Ato (all quartets lead to the?),5,0.004591368227731864,1,0.024390243902439025
Bachigai Hummingbird,MR. Andy,10,0.009182736455463728,1,0.024390243902439025
"10% roll, 10% romance",Dareka ga Wasurete iru Kamoshirenai Bokura ni Daijina 001 no Koto,26,0.023875114784205693,1,0.024390243902439025
Haru ga Kite Bokura,Sawarenai Uta,1,0.0009182736455463728,1,0.024390243902439025
Scarsdale,Haru ga Kite Bokura,1,0.0009182736455463728,1,0.024390243902439025
Sugar Song to Bitter Step,Scarsdale,1,0.0009182736455463728,1,0.024390243902439025
Pandemic Sudden Death,Drum Solo,1,0.0009182736455463728,1,0.024390243902439025
Coffee Cup Syndrome,Karakuri Karukare,13,0.011937557392102846,1,0.024390243902439025
Karakuri Karukare,Childhood Supernova,13,0.011937557392102846,1,0.024390243902439025
MR. Andy,23:25,33,0.030303030303030304,1,0.024390243902439025
Childhood Supernova,Kirai = Kirai,13,0.011937557392102846,1,0.024390243902439025
Kirai = Kirai,meet the world time,13,0.011937557392102846,1,0.024390243902439025
meet the world time,Ride on Time,13,0.011937557392102846,1,0.024390243902439025
Sawarenai Uta,MR. Andy,17,0.015610651974288337,1,0.024390243902439025
Kimi no Hitomi ni Koishi Tenai,Linear Blue wo Kikinagara,2,0.0018365472910927456,1,0.024390243902439025
Mizu to Ame ni Tsuite,Karakuri Karukare,2,0.0018365472910927456,1,0.024390243902439025
Sora no Tobikata,23:25,2,0.0018365472910927456,1,0.024390243902439025
Kimi wa Iiko,Bokutachi no Shippai,1,0.0009182736455463728,1,0.024390243902439025
Kimi wa Iiko,Sayonara Summer Time Machine,3,0.0027548209366391185,1,0.024390243902439025
